1547
nurs	194
object	1162
observ	334
obtain	154
occasion	1163
occur	1321
octob	1164
offens	760
offer	81
offic	335
offici	195
oil	961
olymp	558
olympian	559
omiss	1165
one	962
onto	963
oper	82
opera	1166
opinion	336
orang	155
organ	1394
orient	1167
orthoped	1496
osaka	196
otherwis	1168
otto	1497
outcri	964
outdoor	560
outscor	761
outsid	561
overal	762
own	562
owner	1169
pace	965
pacif	763
padilla	563
pai	789
pair	337
panel	1322
paper	966
paragraph	1170
park	83
particip	967
particl	1323
pass	714
passion	1171
past	764
patrick	1498
patrol	338
paul	968
peak	1172
pek	1173
penalti	339
pend	340
pension	1499
people	564
peoria	341
percent	1500
perform	84
peril	1324
period	565
perman	969
perri	1174
person	566
personnel	1325
peterson	1326
phil	1501
phone	1502
photo	567
physic	1327
pick	970
pig	1503
pike	1175
pil	1328
pilot	197
pit	971
pittsburgh	1504
plai	715
plan	156
plane	85
plant	1329
plastic	1330
player	765
plu	1505
pointer	716
pointless	1506
polic	227
poorli	1507
pork	972
port	1176
possibli	1508
post	1395
potenti	568
pound	569
pour	1177
powder	1331
power	1509
practic	342
predict	717
preliminari	343
presid	157
press	86
prevail	1178
prevent	344
previou	570
previous	766
price	87
primari	1510
prime	88
princip	1179
principl	89
prison	345
privat	346
pro	1180
probabl	1181
procee	90
process	1182
produc	91
product	92
profession	571
profit	973
program	93
project	1332
prolong	1333
promis	347
promot	572
promotion	1183
pronounc	228
proper	1334
propos	1184
prosecut	348
protect	94
prov	573
provid	349
public	95
pull	350
pump	1335
punch	974
punish	975
purchas	96
purpos	1185
put	574
qualifi	575
qualiti	1511
quantiti	976
quarter	1396
quebec	1512
question	351
quick	977
quicker	978
quickli	979
quiet	718
race	576
radar	97
ram	1186
randi	577
range	980
ranger	1513
rapidli	981
rare	982
rave	983
re	1514
reach	98
react	578
reader	1187
readi	579
realiz	1336
reason	984
rebound	719
receiv	352
recent	985
recommend	1337
reconsid	99
record	100
red	1188
redskin	1189
reduc	986
refer	1190
refus	353
reggie	767
regist	580
regul	987
regular	1338
regularli	988
reid	768
reject	354
rel	989
relat	198
releas	355
reliev	581
relinquish	582
remain	356
remedi	101
remodel	1339
remov	1340
renam	1191
reneg	357
renegoti	583
report	990
reportedli	1192
repres	1341
republican	158
reserv	991
resid	229
resolut	720
respons	1342
rest	992
restrict	1193
result	1194
retribut	1343
return	358
reveal	102
revenu	1397
revolv	359
reza	1344
rich	993
richard	1345
richter	584
rick	769
rifle	585
risk	586
ritualist	1195
rival	1196
road	721
roadwai	360
rob	790
roberson	770
robert	587
rockwell	103
roger	588
role	104
rollin	722
rose	994
ross	723
rough	1197
round	589
roundup	771
routin	995
rudolph	1346
rul	361
rule	996
rumble	590
run	591
runner	592
safe	1347
safeti	362
sai	724
sail	1198
salari	1515
sale	105
san	159
sander	997
santa	363
saturdai	593
save	1199
scale	594
scandinavian	1516
scene	230
schedul	199
scheme	998
school	595
scor	725
score	772
scoreboard	726
scot	596
scout	1517
scrap	597
screech	364
sdsu	727
seal	999
search	365
season	598
secret	1000
section	106
secur	1001
seen	1518
segundo	107
sell	1002
seller	1003
semi	599
send	1348
sensat	600
sense	1200
sent	1349
sentenc	366
seoul	601
separ	1350
sept	367
septemb	368
seri	1519
serv	369
serve	370
servic	200
set	201
seven	1520
sewag	1351
shaken	1352
shape	602
share	1201
shawn	728
sheet	1353
sherri	202
shift	1004
shirt	1005
shoe	1354
shoot	773
shop	1006
shot	603
shut	774
